location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,hospital_beds_per_thousand,testing_policy,contact_tracing,facial_coverings,restrictions_internal_movements,international_travel_controls,cancel_public_events,restriction_gatherings,school_closures,workplace_closures,stay_home_requirements
China,2020-01-23,0.448,0.065,0.013,0.001,44.91,4.34,1,2,3,2,0,2,4,0,0,1
China,2020-01-24,0.642,0.194,0.018,0.006,44.91,4.34,1,2,3,2,0,2,4,0,0,1
China,2020-01-25,0.981,0.339,0.029,0.011,47.69,4.34,1,2,3,2,0,2,4,0,0,1
China,2020-01-26,1.446,0.465,0.039,0.01,69.91,4.34,1,2,3,2,0,2,4,3,3,1
China,2020-01-27,2.008,0.562,0.058,0.018,69.91,4.34,1,2,3,2,0,2,4,3,3,1
China,2020-01-28,3.853,1.845,0.092,0.034,69.91,4.34,1,2,3,2,0,2,4,3,3,1
China,2020-01-29,4.257,0.404,0.093,0.001,69.91,4.34,1,2,3,2,0,2,4,3,3,1
China,2020-01-30,5.698,1.441,0.12,0.027,69.91,4.34,1,2,3,2,0,2,4,3,3,1
China,2020-01-31,6.861,1.163,0.149,0.029,69.91,4.34,1,2,3,2,0,2,4,3,3,1
China,2020-02-01,8.325,1.464,0.182,0.032,77.31,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-02,11.647,3.321,0.253,0.072,77.31,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-03,13.811,2.164,0.298,0.045,77.31,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-04,16.607,2.796,0.344,0.046,77.31,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-05,19.222,2.615,0.394,0.05,77.31,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-06,21.427,2.205,0.443,0.049,77.31,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-07,23.897,2.47,0.503,0.06,77.31,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-08,25.793,1.896,0.564,0.061,77.31,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-09,27.905,2.112,0.634,0.07,77.31,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-10,29.67,1.765,0.709,0.075,75.46,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-11,31.087,1.417,0.779,0.07,75.46,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-12,31.348,0.261,0.783,0.004,75.46,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-13,41.961,10.613,0.959,0.177,75.46,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-14,46.492,4.531,1.066,0.107,75.46,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-15,47.933,1.441,1.166,0.1,75.46,4.34,1,2,3,2,0,2,4,3,3,3
China,2020-02-16,49.405,1.472,1.238,0.072,75.46,4.34,2,2,3,2,0,2,4,3,3,3
China,2020-02-17,50.75,1.345,1.307,0.069,75.46,4.34,2,2,3,2,0,2,4,3,3,3
China,2020-02-18,51.995,1.245,1.404,0.097,75.46,4.34,2,2,3,2,0,2,4,3,3,3
China,2020-02-19,52.28,0.285,1.483,0.079,75.46,4.34,2,2,3,2,0,2,4,3,3,3
China,2020-02-20,52.598,0.318,1.568,0.086,75.46,4.34,2,2,3,2,0,2,4,3,3,3
China,2020-02-21,52.93,0.332,1.568,0.0,75.46,4.34,2,2,3,2,0,2,4,3,3,3
China,2020-02-22,53.947,1.017,1.712,0.144,75.46,4.34,2,2,3,2,0,2,4,3,3,3
China,2020-02-23,53.958,0.011,1.713,0.001,75.46,4.34,2,2,3,2,0,2,4,3,3,3
China,2020-02-24,54.108,0.15,1.819,0.105,75.46,4.34,2,2,3,2,0,2,4,3,3,3
China,2020-02-25,54.464,0.356,1.868,0.049,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-02-26,54.748,0.284,1.904,0.036,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-02-27,55.052,0.304,1.924,0.02,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-02-28,55.281,0.229,1.955,0.031,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-02-29,55.58,0.299,1.988,0.033,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-01,55.983,0.403,2.013,0.025,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-02,56.124,0.14,2.042,0.029,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-03,56.211,0.088,2.065,0.023,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-04,56.295,0.084,2.091,0.025,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-05,56.401,0.106,2.113,0.022,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-06,56.507,0.106,2.133,0.02,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-07,56.563,0.055,2.153,0.02,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-08,56.596,0.033,2.172,0.019,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-09,56.621,0.025,2.188,0.016,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-10,56.636,0.015,2.199,0.011,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-11,56.656,0.02,2.215,0.015,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-12,56.662,0.006,2.222,0.008,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-13,56.667,0.006,2.227,0.005,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-14,56.685,0.018,2.237,0.009,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-15,56.7,0.015,2.244,0.007,81.02,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-16,56.713,0.013,2.253,0.01,79.17,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-17,56.725,0.012,2.262,0.009,79.17,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-18,56.741,0.015,2.27,0.008,79.17,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-19,56.758,0.018,2.276,0.006,79.17,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-20,56.791,0.032,2.279,0.003,79.17,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-21,56.817,0.026,2.283,0.004,79.17,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-22,56.873,0.056,2.293,0.011,79.17,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-23,56.889,0.017,2.293,0.0,79.17,4.34,2,2,3,2,2,2,4,3,3,3
China,2020-03-24,56.933,0.043,2.298,0.005,79.17,4.34,2,2,2,2,2,2,4,3,3,3
China,2020-03-25,56.962,0.029,2.301,0.003,79.17,4.34,2,2,2,2,2,2,4,3,3,3
China,2020-03-26,57.016,0.054,2.305,0.004,81.94,4.34,2,2,2,2,3,2,4,3,3,3
China,2020-03-27,57.049,0.033,2.309,0.004,81.94,4.34,2,2,2,2,3,2,4,3,3,3
China,2020-03-28,57.088,0.039,2.311,0.002,73.61,4.34,2,2,2,2,3,2,4,3,3,3
China,2020-03-29,57.118,0.03,2.314,0.004,73.61,4.34,2,2,2,2,3,2,4,3,3,3
China,2020-03-30,57.142,0.024,2.317,0.003,73.61,4.34,2,2,2,2,3,2,4,3,3,3
China,2020-03-31,58.255,1.113,2.318,0.001,73.61,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-04-01,58.366,0.112,2.323,0.005,73.61,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-04-02,58.423,0.056,2.327,0.004,73.61,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-04-03,58.484,0.061,2.33,0.003,69.91,4.34,3,2,2,2,3,2,4,3,2,3
China,2020-04-04,58.537,0.053,2.333,0.003,69.91,4.34,3,2,2,2,3,2,4,3,2,3
China,2020-04-05,58.589,0.052,2.335,0.002,69.91,4.34,3,2,2,2,3,2,4,3,2,3
China,2020-04-06,58.667,0.079,2.336,0.001,69.91,4.34,3,2,2,2,3,2,4,3,2,3
China,2020-04-07,58.709,0.042,2.336,0.0,69.91,4.34,3,2,2,2,3,2,4,3,2,3
China,2020-04-08,58.843,0.134,2.337,0.001,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-09,58.915,0.072,2.339,0.001,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-10,58.967,0.053,2.34,0.001,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-11,59.025,0.058,2.342,0.002,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-12,59.141,0.116,2.342,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-13,59.216,0.075,2.343,0.001,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-14,59.27,0.054,2.343,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-15,59.336,0.067,2.344,0.001,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-16,59.41,0.074,2.344,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-17,59.697,0.287,3.249,0.9050000000000002,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-18,59.745,0.048,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-19,59.788,0.043,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-20,59.831,0.043,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-21,59.877,0.046,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-22,59.914,0.036,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-23,59.94,0.027,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-24,59.972,0.032,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-25,59.998,0.025,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-26,60.018,0.02,3.249,0.001,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-27,60.04,0.022,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-28,60.083,0.043,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-29,60.104,0.02,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-04-30,60.135,0.032,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-05-01,60.149,0.014,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-05-02,60.155,0.006,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-05-03,60.144,0.004,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-05-04,60.14,0.005,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-05-05,60.152,0.012,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-05-06,60.167,0.015,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-05-07,60.172,0.005,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-05-08,60.184,0.012,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-05-09,60.205,0.02,3.249,0.0,56.94,4.34,3,2,2,1,3,2,4,3,2,1
China,2020-05-10,60.23,0.025,3.249,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-11,60.235,0.005,3.249,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-12,60.25,0.015,3.249,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-13,60.258,0.008,3.249,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-14,60.268,0.011,3.249,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-15,60.282,0.013,3.249,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-16,60.294,0.013,3.25,0.001,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-17,60.308,0.013,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-18,60.327,0.019,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-19,60.338,0.011,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-20,60.349,0.011,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-21,60.371,0.022,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-22,60.401,0.03,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-23,60.423,0.022,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-24,60.456,0.033,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-25,60.489,0.033,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-26,60.51,0.021,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-27,60.531,0.021,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-28,60.547,0.016,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-29,60.553,0.006,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-30,60.557,0.004,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-05-31,60.571,0.013,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-06-01,60.585,0.015,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-06-02,60.592,0.006,3.25,0.0,81.94,4.34,3,2,2,2,3,2,4,3,3,3
China,2020-06-03,60.594,0.002,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-04,60.6,0.006,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-05,60.604,0.004,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-06,60.609,0.006,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-07,60.615,0.006,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-08,60.618,0.004,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-09,60.635,0.016,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-10,60.646,0.011,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-11,60.653,0.007,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-12,60.66,0.008,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-13,60.705,0.045,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-14,60.745,0.039,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-15,60.785,0.041,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-16,60.82,0.035,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-17,60.844,0.023,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-18,60.872,0.028,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
China,2020-06-19,60.874,0.002,3.25,0.0,78.24,4.34,3,2,2,2,3,2,4,2,3,3
