location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,hospital_beds_per_thousand,testing_policy,contact_tracing,facial_coverings,restrictions_internal_movements,international_travel_controls,cancel_public_events,restriction_gatherings,school_closures,workplace_closures,stay_home_requirements
United States,2020-01-23,0.003,0.0,0.0,0.0,0.0,2.77,0,1,0,0,0,0,0,0,0,0
United States,2020-01-24,0.006,0.003,0.0,0.0,0.0,2.77,0,1,0,0,0,0,0,0,0,0
United States,2020-01-25,0.006,0.0,0.0,0.0,0.0,2.77,0,1,0,0,0,0,0,0,0,0
United States,2020-01-26,0.015,0.009,0.0,0.0,0.0,2.77,0,1,0,0,0,0,0,0,0,0
United States,2020-01-27,0.015,0.0,0.0,0.0,0.0,2.77,0,1,0,0,0,0,0,0,0,0
United States,2020-01-28,0.015,0.0,0.0,0.0,0.0,2.77,0,1,0,0,0,0,0,0,0,0
United States,2020-01-29,0.018,0.003,0.0,0.0,0.0,2.77,0,1,0,0,0,0,0,0,0,0
United States,2020-01-30,0.018,0.0,0.0,0.0,0.0,2.77,0,1,0,0,0,0,0,0,0,0
United States,2020-01-31,0.024,0.006,0.0,0.0,0.0,2.77,0,1,0,0,0,0,0,0,0,0
United States,2020-02-01,0.024,0.0,0.0,0.0,0.0,2.77,0,1,0,0,0,0,0,0,0,0
United States,2020-02-02,0.024,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-03,0.033,0.009,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-04,0.033,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-05,0.033,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-06,0.035,0.003,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-07,0.035,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-08,0.035,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-09,0.035,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-10,0.035,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-11,0.038,0.003,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-12,0.038,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-13,0.041,0.003,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-14,0.041,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-15,0.041,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-16,0.041,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-17,0.041,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-18,0.041,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-19,0.041,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-20,0.041,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-21,0.047,0.006,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
United States,2020-02-22,0.047,0.0,0.0,0.0,5.56,2.77,0,1,0,0,2,0,0,0,0,0
